Name;Site ;Plot ;Date;Open_water;Bare_rock;Bare_soil;Species ;Genus;Abundance;distance_road;dist_t1;dist_t2;dist_t3;dist_t4;dist_t5;Altitude_point;Altitude_nearest_road;D altitude;Operation_start;Invasive;Com;Str;Rud;CSR;L;F;R;N;S;Classification;X_Coord;Y_Coord
Frøya;1;1;12.07.2024;0;20;75;Cerastium fontanum ;Cerastium;17;2,73;48,84;349,47;587,72;847,64;864,31;57;56,56;0,44;2020;NOL ;10,47;12,32;77,21;R/SR;7;5;5;4;0;V;483270,95;7063041,95
Frøya;1;2;12.07.2024;0;15;15;Andromeda polifolia;Andromeda;11;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL;2,28;97,72;0;S;9;9;1;1;0;V;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Betula nana;Betula;2;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL;2,44;85,63;11,92;S;7;8;1;1;0;V;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Carex panicea;Carex;5;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL ;12,14;58,86;29;S/CSR;8;8;4;2;0;V;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Cirriphyllum piliferum;Cirriphyllum;1;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL ;;;;;4;6;6;6;0;B;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Cladonia sp.;Cladonia;14;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL ;;;;;;;;;;L;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Dicranum sp. ;Dicranum;2;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL ;;;;;;;;;;B;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Empetrum nigrum;Empetrum;6;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL;0;100;0;S;7;6;2;1;0;V;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Eriophorum angustifolium;Eriophorum;11;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL;30,35;63,4;6,25;S/CS;8;9;4;1;0;V;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Hypnum cupressiforme;Hypnum;6;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL;;;;;6;4;4;4;0;B;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Polytrichum sp. ;Polytrichum;5;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL;;;;;;;;;;B;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Racomitrium lanuginosum;Racomitrium;18;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL;;;;;7;4;2;1;0;B;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Rhytidiadelphus loreus;Rhytidiadelphus;1;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL;;;;;5;6;2;2;0;B;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Rock lichen;Rock lichen;2;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;;;;;;;;;;;L;482978,6;7062861,81
Frøya;1;2;12.07.2024;0;15;15;Sphagnum sp. ;Sphagnum;2;7,87;312,9;413,26;533,7;678,31;805,75;49,66;49,99;-0,33;2020;NOL;;;;;;;;;;B;482978,6;7062861,81
Frøya;1;3;09.07.2024;0;0;0;Arctous alpina ;Arctous;7;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;13,28;65,44;21,28;S/SR;7;6;2;2;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Betula nana;Betula;12;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;2,44;85,63;11,92;S;7;8;1;1;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Calluna vulgaris ;Calluna;7;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL ;0;91,99;8,01;S;7;6;2;2;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Carex panicea;Carex;17;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL ;12,14;58,86;29;S/CSR;8;8;4;2;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Carex pulicaris ;Carex;10;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL ;3,05;96,95;0;S;8;7;5;2;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Carex rostrata;Carex;14;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;;38,95;39,74;21,31;CS/CSR;8;10;4;2;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Cladonia sp.;Cladonia;5;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL ;;;;;;;;;;L;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Dactylorhiza maculata;Dactylorhiza;7;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;49,8;0;50,2;CR;7;7;3;2;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Dicranum sp. ;Dicranum;1;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL ;;;;;;;;;;B;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Empetrum nigrum;Empetrum;14;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;0;100;0;S;7;6;2;1;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Eriophorum angustifolium;Eriophorum;10;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;30,35;63,4;6,25;S/CS;8;9;4;1;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Hylocomium splendens;Hylocomium;19;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;;;;;6;5;4;2;0;B;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Hypnum cupressiforme;Hypnum;12;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;;;;;6;4;4;4;0;B;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Lysimachia europaea;Lysimachia;17;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;10,73;33,72;55,54;R/CSR;5;6;3;3;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Pleurozium schreberi;Pleurozium;12;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;;;;;6;5;2;2;0;B;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Potentilla erecta ;Potentilla;9;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;16,48;50,52;33;SR/CSR;7;7;3;2;0;V;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Ptilium crista-castrensis;Ptilium;2;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;;;;;5;6;3;2;0;B;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Rhytidiadelphus loreus;Rhytidiadelphus;10;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;;;;;5;6;2;2;0;B;481901,04;7063218,35
Frøya;1;3;09.07.2024;0;0;0;Succisa pratensis ;Succisa;5;6,18;70,44;642,3;656,14;731,92;796,75;46,66;46,56;0,11;2020;NOL;35,52;33,42;31,06;CSR;7;7;5;2;0;V;481901,04;7063218,35
Frøya;1;4;08.07.2024;0;0;0;Andromeda polifolia;Andromeda;15;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;2,28;97,72;0;S;9;9;1;1;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Betula nana;Betula;2;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;2,44;85,63;11,92;S;7;8;1;1;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Calluna vulgaris ;Calluna;13;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL ;0;91,99;8,01;S;7;6;2;2;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Carex panicea;Carex;5;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL ;12,14;58,86;29;S/CSR;8;8;4;2;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Cladonia sp.;Cladonia;11;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL ;;;;;;;;;;L;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Erica tetralix;Erica;8;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;0;100;0;S;8;8;2;1;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Eriophorum angustifolium;Eriophorum;3;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;30,35;63,4;6,25;S/CS;8;9;4;1;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Eriophorum vaginatum;Eriophorum;6;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;16,19;76,13;7,68;S/CS;8;8;2;1;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Hypnum cupressiforme;Hypnum;13;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;;;;;6;4;4;4;0;B;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Juncus squarrosus;Juncus;9;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;3,88;96,12;0;S;7;7;2;2;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Narthecium ossifragum;Narthecium;8;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;;;;;8;9;2;1;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Potentilla erecta ;Potentilla;2;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;16,48;50,52;33;SR/CSR;7;7;3;2;0;V;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Ptilidium ciliare;Ptilidium;5;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;;;;;6;5;2;2;0;B;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Racomitrium lanuginosum;Racomitrium;15;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;;;;;7;4;2;1;0;B;481547,12;7062975,58
Frøya;1;4;08.07.2024;0;0;0;Trichophorum cespitosum;Trichophorum;1;9,65;221,97;499,58;619,94;650,66;906,41;44,2;43,62;0,58;2020;NOL;1,19;98,81;0;S;8;8;2;1;0;V;481547,12;7062975,58
Frøya;1;5;11.07.2024;0;0;0;Andromeda polifolia;Andromeda;10;7,5;180,15;321,89;687,28;699,78;783,86;45,42;45,74;-0,33;2020;NOL;2,28;97,72;0;S;9;9;1;1;0;V;484186,36;7063648,23
